Product_ID,Product_Name,Product_Description,Ingredients,Claims,Packaging_Type,Packaging_Recyclable,Contains_Chemicals,Organic_Claim,Vegan_Claim,Cruelty_Free,Biodegradable,Carbon_Footprint_Level,Country_of_Origin,Price_INR,Shelf_Life_Months,Consumer_Rating,Eco_Label_Class
F103,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Metal,No,Yes,No,No,Yes,Yes,Low,India,180,11,5,Eco
F180,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Plastic,No,Yes,No,Yes,Yes,No,Medium,India,147,10,4.3,Not Eco
F093,organic Pulses,Naturally grown pulses,Lentils pack,Organic farming,Glass,Yes,No,No,No,No,No,High,India,558,29,4,Eco
F015,Organic Honey,Pure natural honey,Honey,No additives,Glass,Yes,Yes,No,No,No,No,Medium,India,314,17,4.9,Not Eco
F107,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Plastic,Yes,Yes,No,No,No,Yes,High,India,470,19,5,Not Eco
F072,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Glass,No,Yes,Yes,No,Yes,Yes,Low,India,373,,4.8,Not Eco
F189,,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Glass,Yes,Yes,No,No,No,Yes,Low,India,195,60,3.9,Eco
F021,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives pack,Glass,No,Yes,No,No,No,No,Medium,India,294,1,4.7,Eco
F103,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Metal,No,Yes,No,No,Yes,Yes,Low,India,,11,5,Eco
F122,Cold Drink,Carbonated soft drink,"Sugar, water offer",Refreshing,Plastic,No,No,Yes,No,Yes,No,High,India,182,28,3.7,Eco
F075,Packaged Bread,Soft white bread,"Refined flour, yeast",fresh baked,Metal,No,Yes,Yes,No,No,No,Medium,India,129,33,3.8,Eco
F088,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Metal,Yes,No,Yes,No,Yes,No,High,India,499,24,4.6,Not Eco
F117,Organic Pulses batch,,Lentils,Organic farming,Metal,Yes,Yes,Yes,Yes,Yes,No,Low,India,,59,4.1,Not Eco
F100,Organic Spice Mix,Traditional spice blend offer,Natural spices batch,No preservatives,Glass,Yes,Yes,Yes,No,No,Yes,Medium,India,292,53,4.2,Eco
F104,Packaged Bread,Soft white bread,,fresh baked,Metal,Yes,Yes,Yes,Yes,Yes,No,High,India,186,27,4.6,Not Eco
F152,Instant Noodles,Quick cook noodles,"refined flour, preservatives",Fast cooking,Paper,Yes,Yes,Yes,Yes,No,Yes,Medium,India,344,46,4.4,Not Eco
F131,Chocolate Bar,Milk chocolate,"sugar, cocoa pack",Rich taste batch,Metal,Yes,No,Yes,No,Yes,Yes,Low,India,505,,4.7,Eco
